"metric","value","skript","data_sha","seed","datum"
"n_kazuistik",324,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"n_anotatorek",6,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"n_odpovedi_dimenze",15476,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"n_missing_dimenze",1600,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"mean_AI_humanisticke",-0.4418,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"mean_teacher_humanisticke",0.3402,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"mean_AI_reaktivni",0.6931,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"mean_teacher_reaktivni",-0.3205,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"mean_AI_systemove",0.348,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"mean_teacher_systemove",0.1689,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"mean_AI_vhodnost",1.561,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"mean_teacher_vhodnost",0.7059,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_b0_AI_vhodnost",1.5468,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_b1_ucitel_vhodnost",-0.8547,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_b1_se_vhodnost",0.0221,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_b1_ci_lo_vhodnost",-0.8979,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_b1_ci_hi_vhodnost",-0.8114,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_b0_AI_reaktivni",0.6833,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_b1_ucitel_reaktivni",-1.01,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_b1_se_reaktivni",0.0288,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_b1_ci_lo_reaktivni",-1.0664,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_b1_ci_hi_reaktivni",-0.9536,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_b0_AI_humanisticke",-0.41,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_b1_ucitel_humanisticke",0.7719,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_b1_se_humanisticke",0.0294,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_b1_ci_lo_humanisticke",0.7142,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_b1_ci_hi_humanisticke",0.8296,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_b0_AI_systemove",0.3215,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_b1_ucitel_systemove",-0.1716,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_b1_se_systemove",0.0315,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_b1_ci_lo_systemove",-0.2333,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_b1_ci_hi_systemove",-0.1098,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"clmm_b1_ucitel_vhodnost",-2.7899,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"clmm_or_ucitel_vhodnost",0.0614,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"clmm_or_ci_lo_vhodnost",0.0516,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"clmm_or_ci_hi_vhodnost",0.0732,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"clmm_b1_ucitel_reaktivni",-2.2519,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"clmm_or_ucitel_reaktivni",0.1052,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"clmm_or_ci_lo_reaktivni",0.0905,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"clmm_or_ci_hi_reaktivni",0.1223,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"clmm_b1_ucitel_humanisticke",1.6833,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"clmm_or_ucitel_humanisticke",5.3834,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"clmm_or_ci_lo_humanisticke",4.684,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"clmm_or_ci_hi_humanisticke",6.1872,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"clmm_b1_ucitel_systemove",-0.2555,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"clmm_or_ucitel_systemove",0.7745,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"clmm_or_ci_lo_systemove",0.682,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"clmm_or_ci_hi_systemove",0.8796,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_slope_b1_ucitel_vhodnost",-0.8566,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_slope_ci_lo_vhodnost",-0.932,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_slope_ci_hi_vhodnost",-0.7813,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_slope_singular_vhodnost",0,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_slope_b1_ucitel_reaktivni",-1.0187,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_slope_ci_lo_reaktivni",-1.1248,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_slope_ci_hi_reaktivni",-0.9126,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_slope_singular_reaktivni",0,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_slope_b1_ucitel_humanisticke",0.7675,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_slope_ci_lo_humanisticke",0.6683,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_slope_ci_hi_humanisticke",0.8667,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_slope_singular_humanisticke",0,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_slope_b1_ucitel_systemove",-0.164,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_slope_ci_lo_systemove",-0.2748,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_slope_ci_hi_systemove",-0.0531,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"lmm_slope_singular_systemove",0,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"missing_podil_AI",0.1106,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"missing_podil_ucitel",0.0961,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"alpha_ord_final_vhodnost",0.5274,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"alpha_ci_lo_vhodnost",0.4854,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"alpha_ci_hi_vhodnost",0.5664,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"alpha_ord_final_reaktivni",0.6454,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"alpha_ci_lo_reaktivni",0.6098,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"alpha_ci_hi_reaktivni",0.6767,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"alpha_ord_final_humanisticke",0.5289,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"alpha_ci_lo_humanisticke",0.4908,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"alpha_ci_hi_humanisticke",0.5652,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"alpha_ord_final_systemove",0.5558,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"alpha_ci_lo_systemove",0.5196,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"alpha_ci_hi_systemove",0.5916,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"jaccard_pristupy_obe_prazdne_shoda",0.7254,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"jaccard_pristupy_bez_prazdnych",0.123,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"ramce_n_labelu_celkem",874,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"ramce_podil_labelu_AI",0.7174,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"glmm_or_ucitel_ramce",0.3127,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"glmm_or_ci_lo_ramce",0.2594,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
"glmm_or_ci_hi_ramce",0.3771,"analyzy/notebooks/30_ai_vs_ucitel.qmd","ba464aaa3aa7223ba6a14009ec38dfb576db9af250079ed821bb6f9992478927",20260714,"2026-07-17"
